n,A,A2,A3,B3,B4,B5,B6,c4,d2,d3,D1,D2,D3,D4,E2
13,0.8320502943,0.2494170247,0.8495461846,0.3815556958,1.6184443042,0.3736977868,1.5851134218,0.9794056043,3.3359803541,0.7704162021,1.0247317479,5.6472289603,0.3071755943,1.6928244057,0.8992858715
14,0.8017837257,0.2353505954,0.8173364643,0.4062453847,1.5937546153,0.3985151187,1.5634277548,0.9809714368,3.4067631082,0.7630230957,1.1176938212,5.6958323952,0.3280808749,1.6719191251,0.8806012936
15,0.7745966692,0.223109243,0.7885410902,0.4281995422,1.5718004578,0.4206273374,1.544005017,0.9823161772,3.4718268899,0.7562114298,1.2031926006,5.7404611792,0.3465589267,1.6534410733,0.8640983825
16,0.75,0.2123453158,0.7625953825,0.4478881642,1.5521118358,0.4404906335,1.5264764297,0.9834835316,3.5319827861,0.7499080894,1.2822585178,5.7817070544,0.3630421198,1.6369578802,0.8493812631
17,0.7276068751,0.2027955427,0.7390575329,0.4656755416,1.5343244584,0.4584605536,1.5105522573,0.9845064055,3.5878839618,0.744051784,1.3557286099,5.8200393136,0.3778630035,1.6221369965,0.8361474429
18,0.7071067812,0.1942567021,0.7175761863,0.4818489633,1.5181510367,0.474818808,1.4960012796,0.9854100438,3.6400637579,0.7385908534,1.4242911978,5.8558363181,0.3912819369,1.6087180631,0.8241613882
19,0.6882472016,0.1865692872,0.6978679132,0.4966384401,1.5033615599,0.4897918506,1.4826364231,0.9862141369,3.6889630232,0.7334814955,1.4885185366,5.8894075098,0.403505952,1.596494048,0.8132366687
20,0.6708203932,0.1796062522,0.6797011871,0.5102305894,1.4897694106,0.503564053,1.470304482,0.9869342675,3.7349501196,0.7286863457,1.5488910825,5.9210091567,0.4147019459,1.5852980541,0.8032235783
21,0.6546536707,0.1732650829,0.6628847579,0.5227786173,1.4772213827,0.516287238,1.4588786197,0.9875829288,3.7783358298,0.7241733407,1.6058158077,5.950855852,0.4250061085,1.5749938915,0.7940003576
22,0.6396021491,0.1674620937,0.6472590598,0.5344096324,1.4655903676,0.5280877019,1.4482528048,0.9881702533,3.8193846434,0.7199148084,1.6596402181,5.9791290687,0.4345307878,1.5654692122,0.7854668435
23,0.6255432422,0.1621282546,0.6326897607,0.5452300944,1.4547699056,0.5390714725,1.438337618,0.9887045452,3.8583234233,0.7158867355,1.7106632167,6.0059836299,0.4433695751,1.5566304249,0.7775397941
24,0.6123724357,0.1572060859,0.6190628491,0.5553299335,1.4446700665,0.5493283024,1.4290570476,0.989192675,3.8953481485,0.7120681752,1.7591436229,6.031552674,0.4516011293,1.5483988707,0.7701493899
25,0.6,0.1526473159,0.6062808418,0.5647857095,1.4352142905,0.5589347417,1.4203460095,0.9896403756,3.9306292195,0.7084407659,1.8053069218,6.0559515172,0.4592920932,1.5407079068,0.7632365793
26,0.5883484054,0.1484110886,0.5942598235,0.5736630625,1.4263369375,0.5679565313,1.4121484064,0.9900524688,3.9643156795,0.7049883378,1.8493506662,6.0792806929,0.4664993446,1.5335006554,0.7567510366
27,0.5773502692,0.1444625778,0.58292711,0.5820186364,1.4179813636,0.5764504869,1.4044155915,0.9904330392,3.996538604,0.7016965888,1.8914488375,6.1016283706,0.4732717546,1.5267282454,0.7506495739
28,0.5669467095,0.1407719025,0.5722193852,0.5899016041,1.4100983959,0.5844659968,1.3971051425,0.9907855696,4.0274138482,0.6985528172,1.9317553967,6.1230722998,0.4796515753,1.5203484247,0.7448948911
29,0.5570860145,0.1373132691,0.5620812031,0.5973548878,1.4026451122,0.5920462237,1.3901798728,0.9911130482,4.0570442921,0.6955456983,1.9704071972,6.1436813869,0.4856755449,1.5143244551,0.7394545842
30,0.5477225575,0.1340642883,0.5524637722,0.604416145,1.395583855,0.5992290779,1.3836070287,0.9914180533,4.0855216883,0.6926650989,2.0075263917,6.163516985,0.4913757764,1.5086242236,0.7343003486
31,0.5388159061,0.131005425,0.5433239622,0.6111185702,1.3888814298,0.6060480101,1.377357632,0.991702821,4.1129281953,0.6899019205,2.0432224338,6.1826339568,0.4967804777,1.5032195223,0.7294073365
32,0.5303300859,0.128119552,0.5346234864,0.6174915526,1.3825084474,0.6125326635,1.3714059375,0.9919693005,4.1393376559,0.6872479671,2.0775937545,6.2010815572,0.5019145398,1.4980854602,0.724753632
33,0.5222329679,0.125391586,0.5263282233,0.623561219,1.376438781,0.6187094129,1.365728984,0.9922191985,4.1648166719,0.6846958331,2.1107291728,6.2189041711,0.50680002,1.49319998,0.7203198211
34,0.5144957554,0.1228081879,0.5184076515,0.6293508852,1.3706491148,0.6246018132,1.360306218,0.9924540156,4.1894255115,0.6822388072,2.14270909,6.236141933,0.5114565432,1.4885434568,0.716088636
35,0.5070925528,0.1203575146,0.5108343754,0.6348814329,1.3651185671,0.6302309752,1.3551191784,0.9926750768,4.2132188792,0.6798707913,2.1736065054,6.252831253,0.5159016343,1.4840983657,0.712044659
36,0.5,0.1180290126,0.5035837252,0.6401716274,1.3598283726,0.6356158821,1.3501512306,0.9928835564,4.2362465735,0.6775862293,2.2034878855,6.2690052616,0.5201509986,1.4798490014,0.7081740753
37,0.4931969619,0.1158132446,0.4966334176,0.645238385,1.354761615,0.6407736571,1.34538734,0.9930804986,4.2585540507,0.6753800471,2.2324139095,6.284694192,0.5242187566,1.4757812434,0.7044644648
38,0.4866642634,0.1137017444,0.4899632668,0.6500970012,1.3499029988,0.6457197909,1.3408138794,0.9932668351,4.2801829105,0.673247599,2.2604401134,6.2999257076,0.5281176437,1.4718823563,0.7009046255
39,0.4803844614,0.1116868932,0.4835549376,0.6547613447,1.3452386553,0.6504683366,1.3364184639,0.9934434003,4.3011713155,0.671184623,2.2876174463,6.3147251846,0.5318591794,1.4681408206,0.6974844246
40,0.474341649,0.1097618148,0.4773917321,0.6592440245,1.3407559755,0.6550320767,1.3321898089,0.9936109428,4.3215543564,0.6691871998,2.3139927569,6.3291159558,0.5354538127,1.4645461873,0.6941946699
41,0.4685212857,0.1079202863,0.4714584069,0.6635565328,1.3364434672,0.6594226666,1.3281176076,0.9937701371,4.3413643695,0.6672517188,2.3396092132,6.3431195258,0.5389110459,1.4610889541,0.6910270009
42,0.4629100499,0.1061566611,0.4657410138,0.6677093694,1.3322906306,0.6636507593,1.3241924244,0.9939215919,4.360631215,0.6653748465,2.3645066754,6.3567557546,0.5422395426,1.4577604574,0.6879737937
43,0.457495711,0.1044658028,0.4602267619,0.6717121489,1.3282878511,0.6677261136,1.3204056025,0.994065858,4.3793825208,0.6635535004,2.3887220196,6.3700430221,0.5454472196,1.4545527804,0.68502808
44,0.4522670169,0.1028430285,0.4549038966,0.6755736946,1.3244263054,0.6716576881,1.316749183,0.9942034355,4.3976438975,0.6617848243,2.4122894245,6.3829983704,0.5485413282,1.4514586718,0.682183476
45,0.4472135955,0.1012840586,0.4497615944,0.6793021202,1.3206978798,0.6754537235,1.3132158343,0.9943347789,4.415439128,0.6600661677,2.435240625,6.395637631,0.551528524,1.448471476,0.6794341204
46,0.4423258685,0.099784974,0.4447898698,0.6829049016,1.3170950984,0.679121815,1.3097987899,0.9944603025,4.432790336,0.6583950665,2.4576051365,6.4079755355,0.5544149283,1.4455850717,0.6767746211
47,0.4375949745,0.0983421784,0.4399794941,0.68638894,1.31361106,0.6826689759,1.3064917933,0.9945803846,4.4497181351,0.6567692271,2.4794104537,6.4200258164,0.5572061822,1.4427938178,0.6742000075
48,0.4330127019,0.0969523651,0.4353219229,0.6897606171,1.3102393829,0.6861016934,1.30328905,0.9946953717,4.4662417617,0.6551865107,2.5006822296,6.4318012938,0.5599074934,1.4400925066,0.671705689
49,0.4285714286,0.0956124884,0.4308092322,0.6930258448,1.3069741552,0.6894259783,1.300185184,0.9948055811,4.4823791942,0.6536449202,2.5214444336,6.4433139548,0.5625236787,1.4374763213,0.6692874186
50,0.4242640687,0.0943197375,0.4264340617,0.6961901085,1.3038098915,0.6926474091,1.2971752002,0.9949113047,4.4981472588,0.6521425884,2.5417194936,6.454575024,0.5650592005,1.4349407995,0.6669412599
51,0.4200840252,0.0930715144,0.4221895645,0.6992585057,1.3007414943,0.6957711712,1.2942544502,0.9950128107,4.5135617253,0.6506777673,2.5615284236,6.4655950271,0.5675181995,1.4324818005,0.664663559
